record_id,source,brand,rating,delay_type,delay_type_evidence,full_text
40bdbffb6692611eaf14,google_play,Amazon,1.0,cancelled,cancel,"Amazon doing what Amazon does best. Some brainlet in corporate decided that instead of being able to search for an item, you'll be forced to having to deal with some stupid af ""alexa for shopping"" ai before youre even allowed to see the listings. Needless to say, Amazon has figured out how to put themselves on the chopping block of memberships I plan to cancel"
b8fb5bae43bb075e62ad,google_play,DoorDash,2.0,long_wait,"2hr and 37mins but yet driver wasnt ""30mins late","Door Dash is hazardous! We can talk about how much they DONT pay their drivers . BUT WHAT ABOUT CUSTOMER SERVICE? ? Feeling as if my food isn't safe after a driver had my items longer than 2hr and 37mins but yet driver wasnt ""30mins late"" Let's not talk about how the picture upon pick up: ""the bag is sealed"" but upon arrival the bag is open?? Door Dash is literally a mobile piece of dog poop and only Door Dash can make a difference. Giving credits or a refund will NOT FIX THE INCOMPETENCE"
02de34f6bb8824ca758a,google_play,Just Eat,1.0,missing_items,wrong item,"It was a 5 star review since 2022. But the customer service at Just Eat is absolutely atrocious. The first time I have interacted with them I years. I was delivered the totally wrong items, took pictures of this, submitted a ticket, and a customer service agent stated multiple times that there was nothing they could do, and a refund will not be given. I've seen multiple people experience the same thing after researching online. Absolutely insane"
1fe0bc3b697446fa766e,google_play,DoorDash,1.0,unspecified_delay,,I don't normally use Door Dash because of extra fees. I was stuck at work and couldn't leave for lunch. I order food. The driver made another stop after picking up my order. My food was cold and my shake was half melted when I got it. I won't be using them again
a69645e7dcdaf10de8de,google_play,foodpanda,2.0,unspecified_delay,,"didn't know that food panda is not really that secured when it comes to food orders. I've recently experience my order, it states in the app that it's already been delivered but i didn't receive anything. also when they refund it goes directly on panda pay which is a hassle because i can't transfer it to my other e-wallet. i hope they improve these problems for future customers"
c1a367b9c328204d4fcf,google_play,Amazon,1.0,cancelled,cancel,worked fine till a recent update. now i can't search for a product category anymore. it forces me into an AI overview of some kind. im not interested in an AI doing my shopping for me. Just bring up the search results list. or dont I guess. I spent too much money on amazon anyway. I hear good things about Walmart plus. might just cancel prime and make the switch
c0136627af08286bc6a6,google_play,Amazon,1.0,stuck_in_transit,no update,"Search results often return completely irrelevant products. Have to sort through a mountain of low quality products. Product descriptions straight-up lying about specs. Scam knock-offs. Difficult to determine who you are buying from. Not readily apparent where something is shipping from. Rough handling of packages. Orders randomly getting canceled after days of waiting with no updates. Reviews can't have info about Sellers, Delivery, Packaging, Pricing, Availability. I suggest the 'Shop' app"
c82b5ead21aa73021604,google_play,DoorDash,1.0,cancelled,cancel,awful.... tried to change my order once it was made... won't allow you to change address or order after you've already ordered and couldn't cancel my order.... going to be using Uber from now on until I see changes I pay my money for it should be able to navigate this app the way I want not the way you want to keep my money
f6761911c9d3cb947916,google_play,Uber Eats,1.0,never_arrived,not deliver,"The AI customer service is bad and if drivers make multiple mistakes or just cheat the AI by not delivering food, the system will blame the customer as AI has no logic or reasoning skills"
5d9ea09e9aa94594e739,google_play,AliExpress,1.0,unspecified_delay,,terrible store. Item sent was not as described. Aliexpress refuse to give me a refund in any way. This is a scam site and I do not recommend using this site or buy anything from them
c1b65afceba6a2d489d0,google_play,eBay,1.0,outage,app down,"Update for 2026. ""Ready to resell"" prompts are driving me insane. eBay Live takes up too much space and slows the app down. I hate it, probably going to delete my account or at least delete the app"
96e44d9bbf9bd3fe625a,google_play,AliExpress,1.0,never_arrived,not deliver,one item is not delivered and the delivered item is also broken
9bfc7026bdb0f51a0d40,google_play,foodpanda,1.0,cancelled,cancel,2 hours waiting for food without compensation?? poor customer support that doesnt even bother to apologize but just shut down chat and cancel order AFTER we wrote in. horrible customer service. terrible app too cuz why cant we cancel order after ONE HOUR of waiting????
d54ff0d9955982d346ab,google_play,Amazon,1.0,late_delivery,delaying,lately Amazon has been delaying packages and lying about the delivery dates.. Just to get a sale
058bca764b93d3345723,google_play,AliExpress,1.0,unspecified_delay,,pay your refunds
f8006d4db912920e7298,google_play,Amazon,1.0,cancelled,cancelled,"My orders keep getting cancelled, proved my identity and the few things that actually went through also got cancelled. all while trying out Amazon prime"
ec3e79f94666cc2e21b6,google_play,Uber Eats,1.0,cancelled,cancelling,Delivery drivers keep cancelling the order pick up because of the distance
21f7df807af088471210,google_play,DoorDash,1.0,cancelled,cancel,Drivers are always running late. Never read instructions but expect to be tipped. Waited over an hour and a half for food. I reached out to support and all they said was they could cancel the order but I would still be charged. ridiculous
f6801a737e70cad45d31,hackernews,Amazon,,late_delivery,delay,"I feel at least in major urban areas Amazon’s delivery network is efficient enough that they have to artificially delay non-Prime orders. I order from Amazon only occasionally, and while sometimes there’s actual step-by-step tracking I’ll usually see no movement at all for 3+ days, and suddenly the item has dispatched from the warehouse and it is reaching my house in an hour"
21dfd1c84c8e65bc24a5,google_play,DoorDash,1.0,cancelled,canceled,"Service kept getting worse so I canceled but they wouldn't stop charging my credit card until I finally had to charge the number. No customer service, horrible company"
cb10062632c62a320221,google_play,Airtel,1.0,outage,not working,worst experience in using wifi services as no one solve your not working problem. I imitate the yesterday morning still no one comes to solve it also I had gone to there sevice centre still didn't get solution
6e14dfbcaa80e0a60b0e,google_play,Airtel,1.0,unspecified_delay,,"very poor service by team airtel.. reason. I paid for a new Airtel Wi-Fi connection on 22 July 26 The connection was not installed by 24 July, and the agent stopped answering my calls. From 28 July to 18 August, I repeatedly followed up for the refund. later found that the amount had already been refunded on 13 August, without any intimation. I am disappointed with the entire Airtel team. I have also raised this issue via email and Twitter/X. That’s why I rated the service “Very Poor.”"
20b3c88cb0e4380aca4e,google_play,Just Eat,1.0,unspecified_delay,,"ordered, but no respnse, it is already an hour and no show, avoid this scam"
257951ba78ab90baf069,google_play,DoorDash,1.0,cancelled,cancel,You pay for a service that if they get wrong the refund is never worth the service you paid for. The sale is an obligation to complete the transaction as a whole. any one else reading this when they mess up your order your can have your bank cancel the payment for Incompletion of the agreed sale
b3fc33a352098fbded57,google_play,Airtel,1.0,long_wait,waiting for 90,"airtel is most useless in odisha, switching from jio was my worst decision now i am waiting for 90 days. i Even tried to complaint but the process is absolute gargabe"
e2797cf288be6fc02e87,google_play,DoorDash,1.0,never_arrived,not receiv,I told them people are going to start useing them for no refunding money on orders not received or cancelled by them
84856a5d94c76f63049d,google_play,Instacart,1.0,cancelled,cancelling,"Kind of sad compared to the door dash app. Firstly it's much slower even when paying extra. Second some of the drivers are extremely rude. Third, having to pay a fee for cancelling when I only saw something missing after they were shopped for. Fourth no button to refund everything is something is missing. Overall going to stop using this, honestly trash compared to the door dash app"
95670e47f228f2ffff64,news,,,outage,outage,Safaricom confirms M-PESA outage after users report hour-long service disruption - People Daily. Safaricom confirms M-PESA outage after users report hour-long service disruption People Daily
cecacbba98c8dee674ba,google_play,Amazon IN,1.0,cancelled,cancel,"very bad app because,app cancel all products"
ab24adf2224277924658,google_play,Lyft,5.0,unspecified_delay,,"No matter if you have lyft cash, if you do not have money on your card it will not request the ride. I just spent my last $50 putting it into lyft for them to not allow me to request a ride. I am now stuck in the Dallas airport. With no money due to my dumb investment of putting it into lyft! *update* Issues with connection to my cards have vanished. Finally able to use the app without worrying about being stranded"
c6e7ada34a16c1b7add9,google_play,Ola,1.0,never_arrived,did not come,"Very disappointing experience with the Ola auto service. My ride was confirmed with the driver and his vehicle, but the driver did not respond to my calls and did not come to the pickup location. I waited for around 15 minutes, and instead of responding, he simply cancelled the ride. If the driver was unable to take the ride, he should have informed me earlier rather than keeping me waiting. This caused unnecessary delay and inconvenience. Ola should take appropriate action against drivers who a"
2ce57ae1763d541f0a44,google_play,AliExpress,5.0,,,"I have been using this app since high-school I'm 26 now still no complaints. one More Thing Is Please stop Letting Companies Copy Other People Photos it's Harder To Order Because Everyone Have The Same Photo. but Otherwise This Company Is Still Awesome , Vendors have Great Communication ,"
7716f388b500774d0e31,google_play,Amazon IN,1.0,never_arrived,not deliver,"Orders are always delayed now. customer service is extremely bad. Associates are unprofessional and impolite, give false assurances and make promises just to pacify and get rid of the consumer and promises that they do not deliver. Customer Service Team handling social media is equally useless"
c6af84a7c89d16ce28f1,google_play,Ola,1.0,cancelled,cancelling,"Drivers don't arrive, transfer rides without cancelling from their side even though THEY are not coming. This happens frequently. Twice driver arrived AFTER clearly cancelling ride and demanded cash VERY RUDELY on phone"
8129c97460c96e034116,google_play,Zepto,1.0,late_delivery,slow,payment slow 😞
27a0688604a0ad11a4f6,google_play,Amazon IN,1.0,late_delivery,delays,"Hello Amazon Team, I would like to raise a complaint regarding the delivery agent. My orders are not being delivered within the promised time, and the delivery agent is repeatedly failing to deliver them on time. This is causing me a lot of inconvenience. Please look into this matter and take appropriate action against the concerned delivery agent. I request you to ensure that my order is delivered as soon as possible and that such delays do not happen again in the future. Thank you"
c492d18e896b29ea401e,google_play,Amazon IN,2.0,unspecified_delay,,"I ordered a motivational water bottle ( combo which contains 3 water bottles of 300ml, 1 litre and 2 litre )of worth 250 rupees. The water bottle i received is completely normal at first sight after filling water it's is leaking and the straw is also not good i can't drink water properly Iam really afraid to return this product because I'm not sure if they refund my money. The 1 litre water bottle is actually 750ml i measured it🙂. Iam very disappointed don't know what to do😒"
22e9b0fc616ee399c981,google_play,DoorDash,1.0,unspecified_delay,,"Ordered from here, and I couldnt find my order. Now they wont even refund me on it"
440de0fef731e54d51bf,google_play,Amazon IN,2.0,late_delivery,slow,"the app has become noticibly slow to load and use, old versions were much better"
ffb0c425e0102b1a726c,google_play,Zepto,1.0,unspecified_delay,,"Extremely disappointing experience. Received a torn 25g elaichi packet with only 4 pieces inside. I shared photos/videos with Zepto, but support claimed it was delivered intact and refused a refund. Why would anyone lie for ₹109? Lost my trust in Zepto. Won’t order again"
28fdec43c7dac9b7cf90,google_play,AliExpress,1.0,cancelled,canceled,Ordered a dog crate on August 23rd. The item was canceled without warning. Customer service stated it was canceled because the seller failed to ship it on time. Terrible communication and a complete waste of time
402ca4c1b32370d79152,google_play,Amazon IN,1.0,never_arrived,not deliver,item not delivered
e80809c793fb7cfc9ec3,google_play,Domino's,1.0,late_delivery,late,To late dilver
6fb9295b6e3a7a37e06f,google_play,Instamart,1.0,late_delivery,delays,"Used to have this app. it was good till 2022. Recently, there were too many delivery frauds and delays. Customer support's rubbish, even if it's human. All they want is to give you halfpriced coupons for their frauds+ their delivery drivers never seem to find your location even if its at the heart of the city. Their X support is useless, too. All they know is to ask for individual order ID instead of fixing based on overall experience. edit 2: I opted for ""delete my account"" so there's no id rn"
efbfad21d0308ae9b213,google_play,Instamart,4.0,late_delivery,late,sometimes the item comes late but it is the best service they are trying their best
db3791cc96ce25ccfc28,google_play,DoorDash,1.0,unspecified_delay,,I updated this review from a 5* to a 2* star because DoorDash refuse one missing thing. I told support if I don't get compensated I will leave a bad review. Doordash did this before and I'm sick of it. Don't use Doordash
73c2c6639544a5fcf6a1,google_play,DoorDash,1.0,unspecified_delay,,"Lately I am always having an issue with delivery. The time estimations are never correct, and will always be pushed back without any reason. Dashers struggle with my building despite instructions to clear any confusion, and even then refuse to follow the basic directions of where to deliver. Many times I have seen drivers just sitting in one place and I have to wait for them to drop my order before getting a new dasher. Each order has been incredibly frustrating with no actual help from support"
4bbfc1b6f2c68be90090,google_play,Uber Eats,2.0,refund_delay,no refund,Never ever Ever pay for priority delivery! There is no guarantee that your food will arrive within the promised time window. There is also no refund when you pay extra for a service and literally don't receive said service. The AI Chat Bot they use for customer service will simply lie and say that your delivery arrived within the maximum time limit( which it objectively did not in my case) and deny your refund request
6f8f1441014549f34ac0,google_play,Domino's,1.0,unspecified_delay,,"I received a call from Domino's customer care after I wrote a review on my worse experience and I was told I won't be refunded instead I will be given points in my Domino's wallet to use in future orders. Honestly, does anyone of you or even the domino's staff order from the same restaurant after a worse experience like throwing up twice eating the ordered food?. How can you even call and ask me to use the points added to my wallet?"
3c90ad8f60f71f74568d,google_play,Zepto,1.0,never_arrived,not deliver,My order was not delivered Neither I got any refund for undelivered items. There is no proper way to communicate them neither delivery agent number is rechable. Very worst experience for this website
3f4e484f761c08c4aca0,google_play,Zepto,2.0,unspecified_delay,,"Very disappointing experience with Zepto lately. In my recent orders, I have repeatedly received stale or expired products. I have also received damaged/leaking buttermilk packets, and on some occasions, items were missing from the delivery. What is even more disappointing is that when I raise a genuine complaint, instead of properly addressing the quality issue, my reliability is questioned.Zepto needs to seriously improve its quality-control and packing checks"
02a5ccd9ba70818d9ce8,google_play,Amazon IN,1.0,late_delivery,Delayed,Delayed delivery
f861fba7a24937f75700,google_play,bigbasket,1.0,cancelled,cancelled,"Their service has become terrible. The first time, they delivered the product in filthy, torn packaging and the second time they cancelled my order because I missed the delivery person's call; although I immediately called back twice, the call disconnected after just one ring. They don't provide call to the delivery person why and their customer care number doesn't work either. I emailed their representatives but received no response.local shopkeepers provide better service than them,"
6428a3dd9d8226b95124,google_play,Xfinity,1.0,unspecified_delay,,"This app is still trash, and apparently will always be trash. Every single time they force an update I have to go into the app settings and clear cache and data or reinstall or I infinitely get stuck on ""Looks like you need to update"" screen. This is completely unacceptable to not care enough to make the app usable. If I could rate negative stars, I would"
3e638c98c153ee5ed68c,google_play,Instacart,1.0,never_arrived,not receiv,did not receive all of my order!
0e11f6d7557e05159bbd,google_play,DoorDash,1.0,cancelled,Canceled,"Canceled membership because this is ridiculous, paid over 20 for meal with tip, got order (4 items) all were wrong, missing, or bad quality of items and was told by customer service that I was ineligible for a refund. Order: Quarter Pounder w/cheese only ketchup 4 Strips 2 sauces Ranch and BBQ Double Cheese plain medium fry Received: Quarter Pounder plain and no cheese Bacon Double with everything 4 Strips No Sauce Medium fry old/cold No wasting money monthly for that kind of service!"
e9dd5b2de8dd55a7d44d,google_play,Amazon IN,1.0,cancelled,cancelled,"bad experience.Delivery releated issue.Delivery agent not able to deliver package on given time.Then falsely Update ,that he tried to attempt delivery,Second time i have cancelled order,because of that.very unprofessional approach.I request take some serious action against delivery agent,for conveying incorrect information"
